新文件名,原文件名,源照片,位置(1左上 2右上 3左下 4右下)
sxs2026092200285.jpg,IMG_0605_3.jpg,IMG_0605.HEIC,3
sxs2026092200286.jpg,IMG_0649_3.jpg,IMG_0649.HEIC,3
sxs2026092200287.jpg,IMG_0794_3.jpg,IMG_0794.HEIC,3
sxs2026092200288.jpg,IMG_0782_3.jpg,IMG_0782.HEIC,3
sxs2026092200289.jpg,IMG_0622_4.jpg,IMG_0622.HEIC,4
sxs2026092200290.jpg,IMG_0545_2.jpg,IMG_0545.HEIC,2
sxs2026092200291.jpg,IMG_0609_1.jpg,IMG_0609.HEIC,1
sxs2026092200292.jpg,IMG_0499_3.jpg,IMG_0499.HEIC,3
sxs2026092200293.jpg,IMG_0616_2.jpg,IMG_0616.HEIC,2
sxs2026092200294.jpg,IMG_0771_3.jpg,IMG_0771.HEIC,3
sxs2026092200295.jpg,IMG_0608_4.jpg,IMG_0608.HEIC,4
sxs2026092200296.jpg,IMG_0551_2.jpg,IMG_0551.HEIC,2
sxs2026092200297.jpg,IMG_0714_1.jpg,IMG_0714.HEIC,1
sxs2026092200298.jpg,IMG_0715_4.jpg,IMG_0715.HEIC,4
sxs2026092200299.jpg,IMG_0583_3.jpg,IMG_0583.HEIC,3
sxs2026092200300.jpg,IMG_0488_1.jpg,IMG_0488.HEIC,1
sxs2026092200301.jpg,IMG_0508_1.jpg,IMG_0508.HEIC,1
sxs2026092200302.jpg,IMG_0669_2.jpg,IMG_0669.HEIC,2
sxs2026092200303.jpg,IMG_0535_3.jpg,IMG_0535.HEIC,3
sxs2026092200304.jpg,IMG_0558_3.jpg,IMG_0558.HEIC,3
sxs2026092200305.jpg,IMG_0551_3.jpg,IMG_0551.HEIC,3
sxs2026092200306.jpg,IMG_0645_2.jpg,IMG_0645.HEIC,2
sxs2026092200307.jpg,IMG_0671_3.jpg,IMG_0671.HEIC,3
sxs2026092200308.jpg,IMG_0606_4.jpg,IMG_0606.HEIC,4
sxs2026092200309.jpg,IMG_0666_4.jpg,IMG_0666.HEIC,4
sxs2026092200310.jpg,IMG_0673_3.jpg,IMG_0673.HEIC,3
sxs2026092200311.jpg,IMG_0502_1.jpg,IMG_0502.HEIC,1
sxs2026092200312.jpg,IMG_0668_4.jpg,IMG_0668.HEIC,4
sxs2026092200313.jpg,IMG_0602_3.jpg,IMG_0602.HEIC,3
sxs2026092200314.jpg,IMG_0651_1.jpg,IMG_0651.HEIC,1
sxs2026092200315.jpg,IMG_0655_2.jpg,IMG_0655.HEIC,2
sxs2026092200316.jpg,IMG_0734_1.jpg,IMG_0734.HEIC,1
sxs2026092200317.jpg,IMG_0487_1.jpg,IMG_0487.HEIC,1
sxs2026092200318.jpg,IMG_0512_1.jpg,IMG_0512.HEIC,1
sxs2026092200319.jpg,IMG_0496_1.jpg,IMG_0496.HEIC,1
sxs2026092200320.jpg,IMG_0534_1.jpg,IMG_0534.HEIC,1
sxs2026092200321.jpg,IMG_0520_3.jpg,IMG_0520.HEIC,3
sxs2026092200322.jpg,IMG_0638_4.jpg,IMG_0638.HEIC,4
sxs2026092200323.jpg,IMG_0710_4.jpg,IMG_0710.HEIC,4
sxs2026092200324.jpg,IMG_0547_1.jpg,IMG_0547.HEIC,1
sxs2026092200325.jpg,IMG_0589_1.jpg,IMG_0589.HEIC,1
sxs2026092200326.jpg,IMG_0717_2.jpg,IMG_0717.HEIC,2
sxs2026092200327.jpg,IMG_0488_3.jpg,IMG_0488.HEIC,3
sxs2026092200328.jpg,IMG_0635_3.jpg,IMG_0635.HEIC,3
sxs2026092200329.jpg,IMG_0609_3.jpg,IMG_0609.HEIC,3
sxs2026092200330.jpg,IMG_0549_2.jpg,IMG_0549.HEIC,2
sxs2026092200331.jpg,IMG_0685_4.jpg,IMG_0685.HEIC,4
sxs2026092200332.jpg,IMG_0647_3.jpg,IMG_0647.HEIC,3
sxs2026092200333.jpg,IMG_0774_2.jpg,IMG_0774.HEIC,2
sxs2026092200334.jpg,IMG_0642_3.jpg,IMG_0642.HEIC,3
sxs2026092200335.jpg,IMG_0511_1.jpg,IMG_0511.HEIC,1
sxs2026092200336.jpg,IMG_0701_2.jpg,IMG_0701.HEIC,2
sxs2026092200337.jpg,IMG_0502_4.jpg,IMG_0502.HEIC,4
sxs2026092200338.jpg,IMG_0530_3.jpg,IMG_0530.HEIC,3
sxs2026092200339.jpg,IMG_0708_3.jpg,IMG_0708.HEIC,3
sxs2026092200340.jpg,IMG_0669_3.jpg,IMG_0669.HEIC,3
sxs2026092200341.jpg,IMG_0487_2.jpg,IMG_0487.HEIC,2
sxs2026092200342.jpg,IMG_0516_3.jpg,IMG_0516.HEIC,3
sxs2026092200343.jpg,IMG_0772_1.jpg,IMG_0772.HEIC,1
sxs2026092200344.jpg,IMG_0786_4.jpg,IMG_0786.HEIC,4
sxs2026092200345.jpg,IMG_0724_3.jpg,IMG_0724.HEIC,3
sxs2026092200346.jpg,IMG_0738_3.jpg,IMG_0738.HEIC,3
sxs2026092200347.jpg,IMG_0705_3.jpg,IMG_0705.HEIC,3
